accession,gene,length,moltype,organism,created,title
NM_001424358.1,DNMT3B,4021,rna,Homo sapiens,2023/09/21,"Homo sapiens DNA methyltransferase 3 beta (DNMT3B), transcript variant 16, mRNA"
NM_001424353.1,DNMT3B,4157,rna,Homo sapiens,2023/09/21,"Homo sapiens DNA methyltransferase 3 beta (DNMT3B), transcript variant 11, mRNA"
NM_001424352.1,DNMT3B,4210,rna,Homo sapiens,2023/09/21,"Homo sapiens DNA methyltransferase 3 beta (DNMT3B), transcript variant 10, mRNA"
NM_001424357.1,DNMT3B,4031,rna,Homo sapiens,2023/09/21,"Homo sapiens DNA methyltransferase 3 beta (DNMT3B), transcript variant 15, mRNA"
NM_001424160.1,DMPK,2617,rna,Homo sapiens,2023/09/06,"Homo sapiens DM1 protein kinase (DMPK), transcript variant 9, mRNA"
NM_001424168.1,DMPK,2752,rna,Homo sapiens,2023/09/06,"Homo sapiens DM1 protein kinase (DMPK), transcript variant 17, mRNA"
NM_001424169.1,DMPK,2694,rna,Homo sapiens,2023/09/06,"Homo sapiens DM1 protein kinase (DMPK), transcript variant 18, mRNA"
NM_001424164.1,DMPK,2662,rna,Homo sapiens,2023/09/06,"Homo sapiens DM1 protein kinase (DMPK), transcript variant 13, mRNA"
NM_001424162.1,DMPK,2795,rna,Homo sapiens,2023/09/06,"Homo sapiens DM1 protein kinase (DMPK), transcript variant 11, mRNA"
NM_001424159.1,DMPK,2754,rna,Homo sapiens,2023/09/06,"Homo sapiens DM1 protein kinase (DMPK), transcript variant 8, mRNA"
NM_001424161.1,DMPK,2602,rna,Homo sapiens,2023/09/06,"Homo sapiens DM1 protein kinase (DMPK), transcript variant 10, mRNA"
NM_001424121.1,RSPH9,1869,rna,Homo sapiens,2023/09/01,"Homo sapiens radial spoke head component 9 (RSPH9), transcript variant 5, mRNA"
NM_001424120.1,RSPH9,2500,rna,Homo sapiens,2023/09/01,"Homo sapiens radial spoke head component 9 (RSPH9), transcript variant 4, mRNA"
NM_001424106.1,COL10A1,3381,rna,Homo sapiens,2023/09/01,"Homo sapiens collagen type X alpha 1 chain (COL10A1), transcript variant 2, mRNA"
NM_001424111.1,COL11A2,6046,rna,Homo sapiens,2023/09/01,"Homo sapiens collagen type XI alpha 2 chain (COL11A2), transcript variant 8, mRNA"
NM_001424112.1,COL11A2,4405,rna,Homo sapiens,2023/09/01,"Homo sapiens collagen type XI alpha 2 chain (COL11A2), transcript variant 9, mRNA"
NM_001424108.1,COL11A2,6242,rna,Homo sapiens,2023/09/01,"Homo sapiens collagen type XI alpha 2 chain (COL11A2), transcript variant 5, mRNA"
NM_001424104.1,GCH1,1710,rna,Homo sapiens,2023/09/01,"Homo sapiens GTP cyclohydrolase 1 (GCH1), transcript variant 5, mRNA"
NM_001424070.1,ATXN3,6923,rna,Homo sapiens,2023/08/31,"Homo sapiens ataxin 3 (ATXN3), transcript variant ag, mRNA"
NM_001424074.1,GALC,5339,rna,Homo sapiens,2023/08/31,"Homo sapiens galactosylceramidase (GALC), transcript variant 8, mRNA"
NM_001424072.1,GALC,3896,rna,Homo sapiens,2023/08/31,"Homo sapiens galactosylceramidase (GALC), transcript variant 6, mRNA"
NM_001424073.1,GALC,3253,rna,Homo sapiens,2023/08/31,"Homo sapiens galactosylceramidase (GALC), transcript variant 7, mRNA"
NM_001424075.1,GALC,3882,rna,Homo sapiens,2023/08/31,"Homo sapiens galactosylceramidase (GALC), transcript variant 9, mRNA"
NM_001424071.1,GALC,4132,rna,Homo sapiens,2023/08/31,"Homo sapiens galactosylceramidase (GALC), transcript variant 5, mRNA"
NM_001422628.1,EDARADD,3272,rna,Homo sapiens,2023/06/20,"Homo sapiens EDAR associated via death domain (EDARADD), transcript variant C, mRNA"
NM_001365.5,DLG4,6812,rna,Homo sapiens,1999/04/01,"Homo sapiens discs large MAGUK scaffold protein 4 (DLG4), transcript variant 1, mRNA"
NM_001419813.1,KDM6A,5992,rna,Homo sapiens,2023/04/20,"Homo sapiens lysine demethylase 6A (KDM6A), transcript variant 13, mRNA"
NM_001419811.1,KDM6A,6067,rna,Homo sapiens,2023/04/19,"Homo sapiens lysine demethylase 6A (KDM6A), transcript variant 11, mRNA"
NM_001419809.1,KDM6A,6202,rna,Homo sapiens,2023/04/19,"Homo sapiens lysine demethylase 6A (KDM6A), transcript variant 9, mRNA"
NM_001419810.1,KDM6A,6100,rna,Homo sapiens,2023/04/19,"Homo sapiens lysine demethylase 6A (KDM6A), transcript variant 10, mRNA"
NM_001419814.1,KDM6A,5944,rna,Homo sapiens,2023/04/19,"Homo sapiens lysine demethylase 6A (KDM6A), transcript variant 14, mRNA"
NM_001419815.1,KDM6A,5809,rna,Homo sapiens,2023/04/19,"Homo sapiens lysine demethylase 6A (KDM6A), transcript variant 15, mRNA"
NM_012312.5,KIR2DS2,1596,rna,Homo sapiens,2000/02/07,"Homo sapiens killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2 (KIR2DS2), transcript variant 1, mRNA"
NM_012234.7,RYBP,4662,rna,Homo sapiens,2000/02/07,"Homo sapiens RING1 and YY1 binding protein (RYBP), mRNA"
NM_003890.3,FCGBP,16398,rna,Homo sapiens,1999/03/19,"Homo sapiens Fc gamma binding protein (FCGBP), mRNA"
NM_207007.4,CCL4L1,822,rna,Homo sapiens,2004/04/08,"Homo sapiens C-C motif chemokine ligand 4 like 1 (CCL4L1), transcript variant CCL4L, mRNA"
NM_001012989.3,gene/pseudogene,1190,rna,Homo sapiens,2005/03/15,"Homo sapiens ubiquitin conjugating enzyme E2 N like (gene/pseudogene) (UBE2NL), transcript variant coding, mRNA"
NM_001083539.3,KIR3DS1,1876,rna,Homo sapiens,2007/03/27,"Homo sapiens killer cell immunoglobulin like receptor, three Ig domains and short cytoplasmic tail 1 (KIR3DS1), transcript variant 1, mRNA"
NM_001193289.2,APOBEC3A_B,1017,rna,Homo sapiens,2010/07/20,"Homo sapiens APOBEC3A and APOBEC3B deletion hybrid (APOBEC3A_B), mRNA"
NM_014513.3,KIR2DS5,1601,rna,Homo sapiens,2000/04/26,"Homo sapiens killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 5 (KIR2DS5), mRNA"
NM_001018081.2,KIR2DL5B,1632,rna,Homo sapiens,2005/05/18,"Homo sapiens killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5B (KIR2DL5B), mRNA"
NM_001405666.3,NBPF1,7786,rna,Homo sapiens,2022/04/29,"Homo sapiens NBPF member 1 (NBPF1), transcript variant 1, mRNA"
NM_001416004.1,SLC30A10,6354,rna,Homo sapiens,2023/01/10,"Homo sapiens solute carrier family 30 member 10 (SLC30A10), transcript variant 4, mRNA"
NM_001416005.1,SLC30A10,6617,rna,Homo sapiens,2023/01/10,"Homo sapiens solute carrier family 30 member 10 (SLC30A10), transcript variant 2, mRNA"
NM_001415968.1,TENM3,10962,rna,Homo sapiens,2023/01/08,"Homo sapiens teneurin transmembrane protein 3 (TENM3), transcript variant 9, mRNA"
NM_001415967.1,TENM3,10686,rna,Homo sapiens,2023/01/08,"Homo sapiens teneurin transmembrane protein 3 (TENM3), transcript variant 8, mRNA"
NM_001415971.1,TENM3,11047,rna,Homo sapiens,2023/01/06,"Homo sapiens teneurin transmembrane protein 3 (TENM3), transcript variant 12, mRNA"
NM_001415960.1,TENM3,10378,rna,Homo sapiens,2023/01/06,"Homo sapiens teneurin transmembrane protein 3 (TENM3), transcript variant 2, mRNA"
NM_001415966.1,TENM3,10662,rna,Homo sapiens,2023/01/06,"Homo sapiens teneurin transmembrane protein 3 (TENM3), transcript variant 7, mRNA"
NM_001415962.1,TENM3,10348,rna,Homo sapiens,2023/01/06,"Homo sapiens teneurin transmembrane protein 3 (TENM3), transcript variant 4, mRNA"
NM_001415973.1,TENM3,10944,rna,Homo sapiens,2023/01/06,"Homo sapiens teneurin transmembrane protein 3 (TENM3), transcript variant 13, mRNA"
NM_001415964.1,TENM3,10327,rna,Homo sapiens,2023/01/06,"Homo sapiens teneurin transmembrane protein 3 (TENM3), transcript variant 6, mRNA"
NM_001415974.1,TENM3,11044,rna,Homo sapiens,2023/01/06,"Homo sapiens teneurin transmembrane protein 3 (TENM3), transcript variant 14, mRNA"
NM_001415970.1,TENM3,10965,rna,Homo sapiens,2023/01/06,"Homo sapiens teneurin transmembrane protein 3 (TENM3), transcript variant 11, mRNA"
NM_001415963.1,TENM3,10330,rna,Homo sapiens,2023/01/06,"Homo sapiens teneurin transmembrane protein 3 (TENM3), transcript variant 5, mRNA"
NM_001415969.1,TENM3,11068,rna,Homo sapiens,2023/01/06,"Homo sapiens teneurin transmembrane protein 3 (TENM3), transcript variant 10, mRNA"
NM_001415943.1,SYT1,4785,rna,Homo sapiens,2023/01/05,"Homo sapiens synaptotagmin 1 (SYT1), transcript variant 10, mRNA"
NM_001415942.1,SYT1,4362,rna,Homo sapiens,2023/01/05,"Homo sapiens synaptotagmin 1 (SYT1), transcript variant 9, mRNA"
NM_001415939.1,SYT1,4747,rna,Homo sapiens,2023/01/05,"Homo sapiens synaptotagmin 1 (SYT1), transcript variant 6, mRNA"
NM_001415941.1,SYT1,4696,rna,Homo sapiens,2023/01/05,"Homo sapiens synaptotagmin 1 (SYT1), transcript variant 8, mRNA"
NM_001415938.1,SYT1,4639,rna,Homo sapiens,2023/01/05,"Homo sapiens synaptotagmin 1 (SYT1), transcript variant 5, mRNA"
NM_001415940.1,SYT1,4794,rna,Homo sapiens,2023/01/05,"Homo sapiens synaptotagmin 1 (SYT1), transcript variant 7, mRNA"
NM_001415873.1,RANBP2,11732,rna,Homo sapiens,2023/01/04,"Homo sapiens RAN binding protein 2 (RANBP2), transcript variant 4, mRNA"
NM_001415871.1,RANBP2,11786,rna,Homo sapiens,2023/01/04,"Homo sapiens RAN binding protein 2 (RANBP2), transcript variant 2, mRNA"
NM_001042664.2,PLEKHG5,3685,rna,Homo sapiens,2006/08/04,"Homo sapiens pleckstrin homology and RhoGEF domain containing G5 (PLEKHG5), transcript variant 4, mRNA"
NM_001265593.2,PLEKHG5,3693,rna,Homo sapiens,2012/05/22,"Homo sapiens pleckstrin homology and RhoGEF domain containing G5 (PLEKHG5), transcript variant 7, mRNA"
NM_001265594.3,PLEKHG5,3485,rna,Homo sapiens,2012/05/22,"Homo sapiens pleckstrin homology and RhoGEF domain containing G5 (PLEKHG5), transcript variant 8, mRNA"
NM_001042665.2,PLEKHG5,3665,rna,Homo sapiens,2006/08/04,"Homo sapiens pleckstrin homology and RhoGEF domain containing G5 (PLEKHG5), transcript variant 5, mRNA"
NM_003895.4,SYNJ1,7425,rna,Homo sapiens,1999/03/19,"Homo sapiens synaptojanin 1 (SYNJ1), transcript variant 1, mRNA"
NM_001160302.2,SYNJ1,7037,rna,Homo sapiens,2009/05/19,"Homo sapiens synaptojanin 1 (SYNJ1), transcript variant 3, mRNA"
NM_001379447.2,SLC11A2,4297,rna,Homo sapiens,2020/04/03,"Homo sapiens solute carrier family 11 member 2 (SLC11A2), transcript variant 11, mRNA"
NM_001414745.1,SLC11A2,4769,rna,Homo sapiens,2022/12/12,"Homo sapiens solute carrier family 11 member 2 (SLC11A2), transcript variant 18, mRNA"
NM_001414744.1,SLC11A2,3839,rna,Homo sapiens,2022/12/12,"Homo sapiens solute carrier family 11 member 2 (SLC11A2), transcript variant 17, mRNA"
NM_001414514.1,MVK,2688,rna,Homo sapiens,2022/11/30,"Homo sapiens mevalonate kinase (MVK), transcript variant 7, mRNA"
NM_001414513.1,MVK,2844,rna,Homo sapiens,2022/11/30,"Homo sapiens mevalonate kinase (MVK), transcript variant 6, mRNA"
NM_001414511.1,MVK,2989,rna,Homo sapiens,2022/11/30,"Homo sapiens mevalonate kinase (MVK), transcript variant 4, mRNA"
NM_001414515.1,MVK,2741,rna,Homo sapiens,2022/11/30,"Homo sapiens mevalonate kinase (MVK), transcript variant 8, mRNA"
NM_001414503.1,PRORP,2759,rna,Homo sapiens,2022/11/29,"Homo sapiens protein only RNase P catalytic subunit (PRORP), transcript variant 6, mRNA; nuclear gene for mitochondrial product"
NM_001414484.1,STXBP2,1987,rna,Homo sapiens,2022/11/29,"Homo sapiens syntaxin binding protein 2 (STXBP2), transcript variant 5, mRNA"
NM_001448086.1,TRNP1,1931,rna,Homo sapiens,2026/09/11,"Homo sapiens TMF1 regulated nuclear protein 1 (TRNP1), transcript variant 3, mRNA"
NM_001448085.1,TRNP1,1979,rna,Homo sapiens,2026/09/11,"Homo sapiens TMF1 regulated nuclear protein 1 (TRNP1), transcript variant 2, mRNA"
NM_001407310.1,PALB2,4717,rna,Homo sapiens,2022/05/31,"Homo sapiens partner and localizer of BRCA2 (PALB2), transcript variant 15, mRNA"
NM_001407296.1,PALB2,3948,rna,Homo sapiens,2022/05/31,"Homo sapiens partner and localizer of BRCA2 (PALB2), transcript variant 2, mRNA"
NM_001407324.1,TPM1,1145,rna,Homo sapiens,2022/05/31,"Homo sapiens tropomyosin 1 (TPM1), transcript variant 25, mRNA"
NM_001407322.1,TPM1,1343,rna,Homo sapiens,2022/05/31,"Homo sapiens tropomyosin 1 (TPM1), transcript variant 23, mRNA"
NM_001323582.2,BTD,10240,rna,Homo sapiens,2016/07/08,"Homo sapiens biotinidase (BTD), transcript variant 6, mRNA"
NM_001407329.1,TPM1,1217,rna,Homo sapiens,2022/05/31,"Homo sapiens tropomyosin 1 (TPM1), transcript variant 30, mRNA"
NM_001407302.1,PALB2,3697,rna,Homo sapiens,2022/05/31,"Homo sapiens partner and localizer of BRCA2 (PALB2), transcript variant 8, mRNA"
NM_001407332.1,TPM1,1019,rna,Homo sapiens,2022/05/31,"Homo sapiens tropomyosin 1 (TPM1), transcript variant 32, mRNA"
NM_001407313.1,PALB2,2223,rna,Homo sapiens,2022/05/31,"Homo sapiens partner and localizer of BRCA2 (PALB2), transcript variant 18, mRNA"
NM_001281723.4,BTD,9840,rna,Homo sapiens,2013/08/01,"Homo sapiens biotinidase (BTD), transcript variant 1, mRNA"
NM_001407333.1,TPM1,2970,rna,Homo sapiens,2022/05/31,"Homo sapiens tropomyosin 1 (TPM1), transcript variant 21, mRNA"
NM_001407335.1,TPM1,1265,rna,Homo sapiens,2022/05/31,"Homo sapiens tropomyosin 1 (TPM1), transcript variant 34, mRNA"
NM_001407314.1,PALB2,1542,rna,Homo sapiens,2022/05/31,"Homo sapiens partner and localizer of BRCA2 (PALB2), transcript variant 19, mRNA"
NM_001407331.1,TPM1,1217,rna,Homo sapiens,2022/05/31,"Homo sapiens tropomyosin 1 (TPM1), transcript variant 31, mRNA"
NM_001407306.1,PALB2,3991,rna,Homo sapiens,2022/05/31,"Homo sapiens partner and localizer of BRCA2 (PALB2), transcript variant 11, mRNA"
NM_001407342.1,TPM1,1034,rna,Homo sapiens,2022/05/31,"Homo sapiens tropomyosin 1 (TPM1), transcript variant 40, mRNA"
NM_001407336.1,TPM1,2901,rna,Homo sapiens,2022/05/31,"Homo sapiens tropomyosin 1 (TPM1), transcript variant 35, mRNA"
NM_001406645.1,MSH2,10404,rna,Homo sapiens,2022/05/31,"Homo sapiens mutS homolog 2 (MSH2), transcript variant 17, mRNA"
NM_001406654.1,MSH2,10324,rna,Homo sapiens,2022/05/31,"Homo sapiens mutS homolog 2 (MSH2), transcript variant 26, mRNA"
NM_001406649.1,MSH2,10448,rna,Homo sapiens,2022/05/31,"Homo sapiens mutS homolog 2 (MSH2), transcript variant 21, mRNA"
NM_001406652.1,MSH2,10254,rna,Homo sapiens,2022/05/31,"Homo sapiens mutS homolog 2 (MSH2), transcript variant 24, mRNA"
NM_001406656.1,MSH2,10502,rna,Homo sapiens,2022/05/31,"Homo sapiens mutS homolog 2 (MSH2), transcript variant 28, mRNA"
NM_001407277.1,TMEM43,3224,rna,Homo sapiens,2022/05/27,"Homo sapiens transmembrane protein 43 (TMEM43), transcript variant 5, mRNA"
NM_001407280.1,TMEM43,3080,rna,Homo sapiens,2022/05/27,"Homo sapiens transmembrane protein 43 (TMEM43), transcript variant 8, mRNA"
NM_001407275.1,TMEM43,3227,rna,Homo sapiens,2022/05/27,"Homo sapiens transmembrane protein 43 (TMEM43), transcript variant 3, mRNA"
NM_001407274.1,TMEM43,3233,rna,Homo sapiens,2022/05/27,"Homo sapiens transmembrane protein 43 (TMEM43), transcript variant 2, mRNA"
NM_001407278.1,TMEM43,3215,rna,Homo sapiens,2022/05/27,"Homo sapiens transmembrane protein 43 (TMEM43), transcript variant 6, mRNA"
NM_001407255.1,STK11,2482,rna,Homo sapiens,2022/05/27,"Homo sapiens serine/threonine kinase 11 (STK11), transcript variant 2, mRNA"
NM_001407185.1,SCN5A,3077,rna,Homo sapiens,2022/05/27,"Homo sapiens sodium voltage-gated channel alpha subunit 5 (SCN5A), transcript variant 8, mRNA"
NM_001407186.1,SCN5A,1080,rna,Homo sapiens,2022/05/27,"Homo sapiens sodium voltage-gated channel alpha subunit 5 (SCN5A), transcript variant 9, mRNA"
NM_001407243.1,PCSK9,3580,rna,Homo sapiens,2022/05/27,"Homo sapiens proprotein convertase subtilisin/kexin type 9 (PCSK9), transcript variant 6, mRNA"
NM_001407187.1,SCN5A,687,rna,Homo sapiens,2022/05/27,"Homo sapiens sodium voltage-gated channel alpha subunit 5 (SCN5A), transcript variant 10, mRNA"
NM_001407241.1,PCSK9,3679,rna,Homo sapiens,2022/05/27,"Homo sapiens proprotein convertase subtilisin/kexin type 9 (PCSK9), transcript variant 4, mRNA"
NM_001407244.1,PCSK9,3463,rna,Homo sapiens,2022/05/27,"Homo sapiens proprotein convertase subtilisin/kexin type 9 (PCSK9), transcript variant 7, mRNA"
NM_001407246.1,PCSK9,3996,rna,Homo sapiens,2022/05/27,"Homo sapiens proprotein convertase subtilisin/kexin type 9 (PCSK9), transcript variant 9, mRNA"
NM_001406819.1,MSH6,4069,rna,Homo sapiens,2022/05/27,"Homo sapiens mutS homolog 6 (MSH6), transcript variant 24, mRNA"
NM_001406822.1,MSH6,4064,rna,Homo sapiens,2022/05/25,"Homo sapiens mutS homolog 6 (MSH6), transcript variant 27, mRNA"
NM_001407143.1,MEN1,3084,rna,Homo sapiens,2022/05/25,"Homo sapiens menin 1 (MEN1), transcript variant 10, mRNA"
NM_001407142.1,MEN1,2838,rna,Homo sapiens,2022/05/25,"Homo sapiens menin 1 (MEN1), transcript variant 9, mRNA"
NM_001406827.1,MSH6,3999,rna,Homo sapiens,2022/05/25,"Homo sapiens mutS homolog 6 (MSH6), transcript variant 20, mRNA"
NM_001035512.3,SDHC,1206,rna,Homo sapiens,2005/11/02,"Homo sapiens succinate dehydrogenase complex subunit C (SDHC), transcript variant 3, mRNA; nuclear gene for mitochondrial product"
NM_001406825.1,MSH6,4165,rna,Homo sapiens,2022/05/25,"Homo sapiens mutS homolog 6 (MSH6), transcript variant 22, mRNA"
NM_001406821.1,MSH6,4119,rna,Homo sapiens,2022/05/25,"Homo sapiens mutS homolog 6 (MSH6), transcript variant 18, mRNA"
NM_001406829.1,MSH6,3899,rna,Homo sapiens,2022/05/25,"Homo sapiens mutS homolog 6 (MSH6), transcript variant 37, mRNA"
NM_001407137.1,TGFBR2,4245,rna,Homo sapiens,2022/05/25,"Homo sapiens transforming growth factor beta receptor 2 (TGFBR2), transcript variant 13, mRNA"
NM_001407116.1,SDHC,1251,rna,Homo sapiens,2022/05/25,"Homo sapiens succinate dehydrogenase complex subunit C (SDHC), transcript variant 8, mRNA; nuclear gene for mitochondrial product"
NM_001406824.1,MSH6,4066,rna,Homo sapiens,2022/05/25,"Homo sapiens mutS homolog 6 (MSH6), transcript variant 23, mRNA"
NM_001406820.1,MSH6,3970,rna,Homo sapiens,2022/05/25,"Homo sapiens mutS homolog 6 (MSH6), transcript variant 17, mRNA"
NM_001407130.1,TGFBR2,4527,rna,Homo sapiens,2022/05/25,"Homo sapiens transforming growth factor beta receptor 2 (TGFBR2), transcript variant 7, mRNA"
NM_001407146.1,MEN1,2768,rna,Homo sapiens,2022/05/25,"Homo sapiens menin 1 (MEN1), transcript variant 13, mRNA"
NM_001024847.3,TGFBR2,4605,rna,Homo sapiens,2005/06/15,"Homo sapiens transforming growth factor beta receptor 2 (TGFBR2), transcript variant 1, mRNA"
NM_001407168.1,RB1,2159,rna,Homo sapiens,2022/05/25,"Homo sapiens RB transcriptional corepressor 1 (RB1), transcript variant 5, mRNA"
NM_001406826.1,MSH6,4388,rna,Homo sapiens,2022/05/25,"Homo sapiens mutS homolog 6 (MSH6), transcript variant 13, mRNA"
NM_001407133.1,TGFBR2,4708,rna,Homo sapiens,2022/05/25,"Homo sapiens transforming growth factor beta receptor 2 (TGFBR2), transcript variant 9, mRNA"
NM_001407120.1,SDHC,1426,rna,Homo sapiens,2022/05/25,"Homo sapiens succinate dehydrogenase complex subunit C (SDHC), transcript variant 12, mRNA; nuclear gene for mitochondrial product"
NM_001406828.1,MSH6,4020,rna,Homo sapiens,2022/05/25,"Homo sapiens mutS homolog 6 (MSH6), transcript variant 43, mRNA"
NM_001407147.1,MEN1,2931,rna,Homo sapiens,2022/05/25,"Homo sapiens menin 1 (MEN1), transcript variant 14, mRNA"
NM_001407117.1,SDHC,1245,rna,Homo sapiens,2022/05/25,"Homo sapiens succinate dehydrogenase complex subunit C (SDHC), transcript variant 9, mRNA; nuclear gene for mitochondrial product"
NM_001407148.1,MEN1,2626,rna,Homo sapiens,2022/05/25,"Homo sapiens menin 1 (MEN1), transcript variant 15, mRNA"
NM_001407151.1,MEN1,2721,rna,Homo sapiens,2022/05/25,"Homo sapiens menin 1 (MEN1), transcript variant 18, mRNA"
NM_001407152.1,MEN1,2547,rna,Homo sapiens,2022/05/25,"Homo sapiens menin 1 (MEN1), transcript variant 19, mRNA"
NM_001407132.1,TGFBR2,4391,rna,Homo sapiens,2022/05/25,"Homo sapiens transforming growth factor beta receptor 2 (TGFBR2), transcript variant 8, mRNA"
NM_001278172.3,SDHC,1042,rna,Homo sapiens,2013/05/14,"Homo sapiens succinate dehydrogenase complex subunit C (SDHC), transcript variant 5, mRNA; nuclear gene for mitochondrial product"
NM_001407069.1,MUTYH,1849,rna,Homo sapiens,2022/05/24,"Homo sapiens mutY DNA glycosylase (MUTYH), transcript variant 11, mRNA"
NM_001406636.1,MSH2,3018,rna,Homo sapiens,2022/05/24,"Homo sapiens mutS homolog 2 (MSH2), transcript variant 8, mRNA"
NM_001406877.1,PMS2,5625,rna,Homo sapiens,2022/05/24,"Homo sapiens PMS1 homolog 2, mismatch repair system component (PMS2), transcript variant 26, mRNA"
NM_001407073.1,MUTYH,1816,rna,Homo sapiens,2022/05/24,"Homo sapiens mutY DNA glycosylase (MUTYH), transcript variant 25, mRNA"
NM_001406892.1,PMS2,5040,rna,Homo sapiens,2022/05/24,"Homo sapiens PMS1 homolog 2, mismatch repair system component (PMS2), transcript variant 41, mRNA"
NM_001406871.1,PMS2,4949,rna,Homo sapiens,2022/05/24,"Homo sapiens PMS1 homolog 2, mismatch repair system component (PMS2), transcript variant 20, mRNA"
NM_001406915.1,HNF1A,3250,rna,Homo sapiens,2022/05/24,"Homo sapiens HNF1 homeobox A (HNF1A), transcript variant 3, mRNA"
NM_001406891.1,PMS2,5260,rna,Homo sapiens,2022/05/24,"Homo sapiens PMS1 homolog 2, mismatch repair system component (PMS2), transcript variant 40, mRNA"
NM_001406876.1,PMS2,5023,rna,Homo sapiens,2022/05/24,"Homo sapiens PMS1 homolog 2, mismatch repair system component (PMS2), transcript variant 25, mRNA"
NM_001407083.1,MUTYH,1823,rna,Homo sapiens,2022/05/24,"Homo sapiens mutY DNA glycosylase (MUTYH), transcript variant 16, mRNA"
NM_001407080.1,MUTYH,1739,rna,Homo sapiens,2022/05/24,"Homo sapiens mutY DNA glycosylase (MUTYH), transcript variant 32, mRNA"
NM_001406898.1,PMS2,5265,rna,Homo sapiens,2022/05/24,"Homo sapiens PMS1 homolog 2, mismatch repair system component (PMS2), transcript variant 47, mRNA"
NM_001407066.1,MERLIN,2623,rna,Homo sapiens,2022/05/24,"Homo sapiens NF2, moesin-ezrin-radixin like (MERLIN) tumor suppressor (NF2), transcript variant 15, mRNA"
NM_001407085.1,MUTYH,1750,rna,Homo sapiens,2022/05/24,"Homo sapiens mutY DNA glycosylase (MUTYH), transcript variant 17, mRNA"
NM_001406895.1,PMS2,4900,rna,Homo sapiens,2022/05/24,"Homo sapiens PMS1 homolog 2, mismatch repair system component (PMS2), transcript variant 44, mRNA"
